Index,Label,Class_num,Class_lr,fd_box_counting,fd_temporal_sampling,fd_corr_sum,Img_Path,NPZ_Path
0,437-R,437,R,0.13995794854431517,1.8808933993127195,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R06.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R06.npz
1,437-R,437,R,0.13619045209664085,1.9367622447630375,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R09.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R09.npz
2,437-R,437,R,0.1346860160395996,1.867428254568526,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R07.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R07.npz
3,437-R,437,R,0.143878256684951,1.8577240684678746,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R02.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R02.npz
4,437-R,437,R,0.12089633202467616,1.8163357899327093,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R03.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R03.npz
5,437-R,437,R,0.1346476588590688,1.8514097360068198,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R08.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R08.npz
6,437-R,437,R,0.1366691590319283,1.826549407693697,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R00.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R00.npz
7,437-R,437,R,0.11232915134079559,1.8681783577452433,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R04.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R04.npz
8,437-R,437,R,0.14152504289892015,1.8154687274418402,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R01.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R01.npz
9,437-R,437,R,0.13549865672505915,1.8293966707123872,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R05.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/R/S5437R05.npz
10,437-L,437,L,0.1362668651369788,1.8549175077164202,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L00.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L00.npz
11,437-L,437,L,0.1371234268193316,1.8089439148626196,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L05.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L05.npz
12,437-L,437,L,0.13601493287133468,1.8796907307150221,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L08.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L08.npz
13,437-L,437,L,0.13382137315181838,1.8796504397172016,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L04.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L04.npz
14,437-L,437,L,0.1333243053113622,1.8567614387058098,-2.6143968994013094e-31,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L07.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L07.npz
15,437-L,437,L,0.12312797151238064,1.8804899893965532,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L02.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L02.npz
16,437-L,437,L,0.12544143663815024,1.8707605249904256,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L03.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L03.npz
17,437-L,437,L,0.1372778358320233,1.8369175119674117,2.6143968994013094e-31,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L09.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L09.npz
18,437-L,437,L,0.1360522095864389,1.893695019763893,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L06.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L06.npz
19,437-L,437,L,0.13406398385747959,1.874638949458705,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L01.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/437/L/S5437L01.npz
20,515-R,515,R,0.13982588435208906,1.9263581981006441,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R07.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R07.npz
21,515-R,515,R,0.13131570605388157,1.9208024600964333,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R09.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R09.npz
22,515-R,515,R,0.13128679478857863,1.876083268071374,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R08.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R08.npz
23,515-R,515,R,0.13693096773386676,1.8825733506675981,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R01.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R01.npz
24,515-R,515,R,0.12164077369053597,1.8394241402827385,2.6143968994013094e-31,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R04.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R04.npz
25,515-R,515,R,0.13297235446977346,1.8875503872178188,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R00.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R00.npz
26,515-R,515,R,0.13043430809289985,1.8795055722074876,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R03.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R03.npz
27,515-R,515,R,0.1373914676437397,1.8887342821414927,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R02.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R02.npz
28,515-R,515,R,0.12538893316314295,1.8543289955342173,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R05.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R05.npz
29,515-R,515,R,0.12881807509831464,1.937391373737113,-2.6143968994013094e-31,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R06.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/R/S5515R06.npz
30,515-L,515,L,0.13649422354009721,1.892722235211908,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L08.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L08.npz
31,515-L,515,L,0.12260128474560812,1.8376783234749057,2.6143968994013094e-31,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L04.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L04.npz
32,515-L,515,L,0.13887989382938296,1.967356137679217,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L05.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L05.npz
33,515-L,515,L,0.12094943874035567,1.9030545005615456,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L01.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L01.npz
34,515-L,515,L,0.12308355284524101,1.8814852235697077,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L02.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L02.npz
35,515-L,515,L,0.12600740620253306,1.9828784014592524,2.6143968994013094e-31,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L00.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L00.npz
36,515-L,515,L,0.12502491951383493,1.8037276658814025,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L07.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L07.npz
37,515-L,515,L,0.1280448147301367,1.897060155668696,0.0,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L09.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L09.npz
38,515-L,515,L,0.1334236637519758,1.8142060019694508,2.6143968994013094e-31,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L06.jpg,/media/limalima/D/Database/CASIA-Iris-Thousand/515/L/S5515L06.npz
